,title,year,rating,votes
9102,Survival of the Fittest,2010,6.3,7
9103,Starting from Scratch,2007,5.2,14
9104,Execution,2010,4.3,14
9105,Bunker of Blood,2011,3.0,73
9106,Mexican Devil,2010,6.7,34
9107,Haunted,1998,5.2,29
9108,Theo,2010,7.4,58
9109,Group Therapy: OCD,2017,7.7,7
9110,American Dream?,2005,5.3,116
9111,Cl.One,2005,3.2,163
9112,Friends of Mr. Sweeney,1934,6.0,82
9113,Where's George?,1999,3.7,166
9114,Venice Beach,2001,8.1,9
9115,God-Links,2006,6.2,11
9116,Steinjive,2009,8.4,7
9117,Phantom Love,2007,5.9,158
9118,Serpent Island,1954,3.6,58
9119,Creatures from the Pink Lagoon,2006,5.1,197
9120,The Glass Window,2011,5.0,23
9121,Riverboat Rhythm,1946,6.0,47
9122,Chi Nu Legacy,2017,8.9,8
9123,A Hollywood Story,1989,4.0,15
9124,Chronicles of a Love Unfound,2010,6.9,16
9125,Lying Posture of a Lion,2017,2.8,12
9126,The Luck of the Irish,1920,2.8,11
9127,Why Am I in a Box?,2010,4.6,15
9128,Video Diary of a Lost Girl,2012,7.2,42
9129,The Lady in Ermine,1927,4.4,16
9130,Head Games,2001,7.7,34
9131,Dark Truths,2012,7.4,18
9132,30 Years of Fun,1963,6.5,54
9133,April Folly,1920,6.4,130
9134,El cadáver exquisito,2011,8.1,10
9135,Summer Running: The Race to Cure Breast Cancer,2006,7.1,10
9136,Trigger Finger,2012,7.2,10
9137,From Heaven to Hell,2002,6.7,19
9138,Alleyball,2006,7.7,29
9139,Danny and Max,2000,4.3,37
9140,Human Prey,1995,4.3,29
9141,Little Robinson Crusoe,1924,6.6,5
9142,Mark of the Lash,1948,7.2,38
9143,Christmas Apparition,2016,3.7,36
9144,Speed to Burn,1938,7.2,12
9145,A Dragon's Tale,2006,7.0,12
9146,Dead Eye,2011,5.7,20
9147,Stagecoach Driver,1951,8.0,6
9148,Off the Cuff,2009,6.6,19
9149,Dirty Rice,1997,7.5,12
9150,Jerker,1991,6.5,43
9151,Portion,2012,8.3,10
9152,Not Fade Away,2008,9.0,5
9153,The Last Trail,1927,7.2,11
9154,The Contender,1944,5.5,75
9155,The Last Trail,1933,5.8,39
9156,A Marriage,1983,6.9,7
9157,Almost a Gentleman,1939,6.3,53
9158,East Lynne,1916,5.8,16
9159,Taxi Dance,2009,7.2,10
9160,Janes Addiction Ritual De Lo Habitual Alive at Twenty Five,2017,7.8,19
9161,Fighting Chance,2001,4.7,12
9162,The Covered Trailer,1939,5.3,7
9163,The Last,2007,3.8,48
9164,The Devil Cats,2004,6.2,24
9165,Metal Messiah,2010,7.5,35
9166,Beyond the Quest,2007,5.5,17
9167,Rio Grande Romance,1936,6.9,9
9168,Dead Man's Gold,1948,7.9,33
9169,Peaks and Valleys,2019,7.5,10
9170,Off the Wall,1977,8.2,6
9171,No Marriage Ties,1933,6.4,91
9172,Shut Yer Dirty Little Mouth,2001,7.6,57
9173,The Big Gusher,1951,5.7,33
9174,Wasting Away,2009,4.6,9
9175,Lisa's Nightmares,1994,5.3,7
9176,Robbing 'Hef,2002,7.3,15
9177,The Secret Witness,1931,5.9,68
9178,The Tioga Kid,1948,6.3,56
9179,End of the Road,1944,5.7,38
9180,Davy Crockett,1916,5.9,7
9181,Border Saddlemates,1952,7.3,22
9182,Crashing Eden,1999,6.2,13
9183,Lady at Midnight,1948,6.3,69
9184,Flashing Guns,1947,6.1,14
9185,Bulldog Drummond at Bay,1947,7.0,44
9186,Red Pearl,2015,6.1,11
9187,Fastback,2005,5.4,14
9188,Overland Mail Robbery,1943,7.0,23
9189,6 Minutes of Death,2013,3.6,275
9190,Boss of Hangtown Mesa,1942,6.2,36
9191,The Broken Butterfly,1919,6.6,14
9192,Daymaker,2007,5.3,444
9193,Belle of Old Mexico,1950,6.4,16
9194,Allegheny Sunset,2008,7.8,6
9195,The Woods Within,2014,4.6,53
9196,Love Me... Please!,1972,7.2,6
9197,Xtacy,2005,6.0,33
9198,Catch a Wave,2006,5.9,44
9199,Callback,2005,7.2,16
9200,Frisco Waterfront,1935,4.8,19
9201,Clubhouse Detectives in Big Trouble,2002,6.1,74
9202,Roarin' Guns,1936,5.1,39
9203,Totally Sexy Loser,2003,6.9,52
9204,Venus Makes Trouble,1937,4.0,20
9205,The Dresden Dolls: In Paradise,2005,9.1,74
9206,Mosaic,2013,8.0,91
9207,MMXII,2017,7.9,16
9208,The Wonderful World of Girls,1965,6.5,13
9209,A Dangerous Game,1941,4.8,40
9210,Dive,2003,7.6,10
9211,Paradise Isle,1937,5.2,46
9212,Best Man in Grass Creek,1999,5.8,162
9213,Train to Tombstone,1950,4.9,48
9214,Old Hutch,1936,6.9,37
9215,Mostly Dead,2014,3.0,16
9216,Omoo-Omoo the Shark God,1949,2.9,156
9217,Saint Anthony,2007,4.8,5
9218,Bloody 27,2012,4.1,14
9219,Elevator Movie,2004,5.6,173
9220,The Wolf at the Door,2008,9.0,13
9221,The Busker,2006,8.4,11
9222,Serial: Amoral Uprising,2009,7.3,20
9223,Utopians,2011,6.1,23
9224,Alien Vengeance II: Rogue Element,2010,4.1,40
9225,Secret Valley,1937,6.0,20
9226,The Gentleman from Louisiana,1936,4.1,10
9227,Tyrant of the Sea,1950,6.1,14
9228,The Situation,2006,9.2,11
9229,Wicked,1931,6.0,47
9230,Deep in the Heart of Texas,1942,5.8,60
9231,The Contenders,2009,4.2,19
9232,A Letter to Nancy,1965,8.1,11
9233,Forbidden Under Censorship of the King,1972,6.6,7
9234,One Down,1996,4.6,5
9235,A Bulldog for Christmas,2013,4.0,71
9236,"Fly Now, Pay Later",1969,5.3,11
9237,Sorority Sister Slaughter,2007,1.9,157
9238,Barb Wire,1922,5.0,8
9239,The Cross,2002,7.2,50
9240,Perception,2012,6.9,8
9241,Midstream,1929,5.3,6
9242,The Pickle Goes in the Middle,1973,4.2,8
9243,Too Young to Marry,1931,6.2,45
9244,Fear and Love,2017,8.8,6
9245,The Aphrodisans,1970,6.1,8
9246,Presque Isle,2008,7.7,9
9247,Badman's Gold,1951,4.2,20
9248,40 Point Plan,2012,8.5,39
9249,Blood and Honor,2000,2.5,55
9250,The Trespasser,1947,6.1,28
9251,The Stranger from Pecos,1943,5.3,21
9252,Dixie Dugan,1943,7.2,22
9253,AmerAsian,2009,6.6,57
9254,Law of the Timber,1941,5.6,25
9255,Hothead,1963,6.9,14
9256,Egypt by Three,1953,5.1,67
9257,Razzle Dazzle,2007,6.3,76
9258,Drawing with Chalk,2009,7.4,47
9259,The Rainbow Trail,1925,7.0,12
9260,Outlaws of the Panhandle,1941,6.7,7
9261,Leeds Point,2008,7.2,19
9262,Million Dollar Mystery,1927,7.0,5
9263,Scandal Sheet,1939,7.0,6
9264,Occupation: Hollywood,2005,6.5,24
9265,The Road to Sundance,2008,7.7,13
9266,Matthew 26:17,2005,6.5,51
9267,About Mom and Dad...,2014,5.8,13
9268,Gloria Jesus,2014,5.1,9
9269,The Devil's Mate,1933,5.4,7
9270,Woman Trap,1929,5.8,33
9271,Pete & Cleo,2010,7.5,15
9272,Bar America,2014,7.5,23
9273,Vito Bonafacci,2011,7.2,19
9274,Highlighters,2019,5.1,17
9275,Missing 48 Hours,2011,8.3,6
9276,Papamundi and the 9/11 Mechanism,2014,7.0,5
9277,Dark Realm,2013,5.6,30
9278,Pushin' Up Daisies,2010,8.1,21
9279,The M.O. Of M.I.,2002,5.0,168
9280,Code of the Cactus,1939,6.2,65
9281,The Black Stork,1917,4.1,17
9282,White Whale,2010,7.7,7
9283,The Magic Fountain,1961,6.3,7
9284,Cineme' Fabrique No. 1,2006,6.2,31
9285,EZ Money,2005,2.9,129
9286,Fired Wife,1943,6.1,14
9287,The Woods,2011,5.9,69
9288,Dead Drunk,2007,6.7,13
9289,The Roaming Cowboy,1937,4.9,31
9290,Thirty Dangerous Seconds,1973,4.9,34
9291,Trail to Gunsight,1944,4.9,11
9292,Human Desire,1919,5.0,7
9293,City Park,1934,5.7,26
9294,Finding Her Way Home,2011,8.6,7
9295,L.A. Proper,2007,6.8,13
9296,Midshipman Jack,1933,5.6,45
9297,Love & Suicide,2005,6.3,80
9298,Only in L.A.,2013,7.7,33
9299,The Animation Show 4,2008,7.0,21
9300,The Lost Trail,1945,6.1,7
9301,The Phantom of the Air,1933,6.2,29
9302,Stuck Outside of Phoenix,2013,8.5,21
9303,Sky Parade,1936,7.0,7
9304,The Radio Detective,1926,6.1,10
9305,Mister Cinderella,1936,6.2,65
9306,Sixty Six,2015,5.4,32
9307,Lava Lounge,2005,6.9,21
9308,Hard Fists,1927,5.2,12
9309,The Doors: Live at the Isle of Wight,2018,7.7,61
9310,12 Counts of Deception,2011,4.9,16
9311,The Basement,2002,6.3,9
9312,Silks and Saddles,1936,5.6,22
9313,Passion Fever,1969,4.0,20
9314,Broken Cross,2016,6.1,13
9315,Luvrgrl,2004,4.6,14
9316,Command Performance,1931,5.4,49
9317,Raiders of Tomahawk Creek,1950,6.3,15
9318,Labor's Reward,1925,5.3,19
9319,The Corrupt Half,2017,5.4,33
9320,The Stoker,1932,5.8,41
9321,American Southern,1995,4.1,133
9322,Boys Briefs 3: Between the Boys,2006,5.3,6
9323,Marin Blue,2009,3.9,302
9324,Breathful,2007,3.2,393
9325,Never Sleeps,2007,8.9,12
9326,Again... Pioneers,1950,6.6,17
9327,11th Hour,1997,5.0,8
9328,Mahalia Jackson: The Power and the Glory,1997,7.8,24
9329,2 A.M.,2006,7.6,52
9330,Stardust on the Sage,1942,6.6,59
9331,Satori,2015,8.6,14
9332,Square Dance Katy,1950,5.8,5
9333,Little Pieces,2000,6.7,19
9334,Dialogues,2009,6.9,11
9335,The Breakdance Kid,2004,6.5,37
9336,A Regular Scout,1926,4.6,22
9337,The Riding Tornado,1932,6.3,10
9338,Figure in the Forest,2002,6.2,443
9339,The Unexpected Father,1932,6.6,8
9340,Heavy Hands,2012,6.1,7
9341,Dropped Frames,2004,6.2,17
9342,Jacks or Better,2000,4.4,25
9343,Bloodborn,2008,6.2,105
9344,Class of '91,2010,7.2,12
9345,Ladies' Night in a Turkish Bath,1928,7.2,25
9346,Nobody in Particular,2013,7.4,14
9347,Parallax,2015,6.8,12
9348,Jordon Saffron: Taste This!,2009,4.8,22
9349,Full Moon Fables,2004,7.9,20
9350,Life in the Raw,1933,5.6,42
9351,The Belle of Broadway,1926,7.6,41
9352,The Crime Patrol,1936,5.2,43
9353,Femmes enragées,1999,7.3,7
9354,The Girl on the Barge,1929,5.8,31
9355,The Heart That Sings,2011,8.2,10
9356,Bob Steel,2004,7.0,24
9357,She Gets Her Man,1945,6.1,35
9358,Shot to the Heart,2018,4.8,6
9359,The Last Generation,1971,6.2,12
9360,Sing and Be Happy,1937,7.5,8
9361,Tillie the Toiler,1927,5.8,463
9362,Racing Lady,1937,5.8,67
9363,Corpsing,2013,4.7,99
9364,Exeter,2014,5.6,62
9365,Six Gun Mesa,1950,5.7,10
9366,Lasca of the Rio Grande,1931,5.6,13
9367,Mr. Vincent,1997,4.6,105
9368,Never Die Twice,2001,6.2,22
9369,Extortion,1938,6.0,6
9370,Johnny Appleweed,2008,5.4,73
9371,Florida Road,2010,7.8,38
9372,Girls Under 21,1940,6.2,34
9373,Kill the Habit,2010,7.9,41
9374,The Poisoning,2013,4.2,143
9375,Time's Up!,2001,6.7,41
9376,Preoccupied,2014,5.4,15
9377,Forests of Mystery,2009,4.1,30
9378,Raising Dragons,2014,6.4,10
9379,Sweet Music,1935,6.0,109
9380,Spoof: Based on a True Movie,2017,3.0,39
9381,Challenge of the Range,1949,7.0,21
9382,Men of the Timberland,1941,5.3,20
9383,Sleepytime Gal,1942,7.6,30
9384,Perils of the Wilderness,1956,6.1,13
9385,14/88,2014,7.9,7
9386,Deadwood Pass,1933,5.3,35
9387,Kingdom Come,1999,8.2,13
9388,Sing a Jingle,1944,5.8,8
9389,Censored,1965,5.2,9
9390,Gun Law Justice,1949,5.7,58
9391,"Swing It, Sailor!",1938,4.8,64
9392,The Pinto Bandit,1944,5.6,29
9393,Conrad in Quest of His Youth,1920,7.2,23
9394,College Scandal,1935,6.6,22
9395,She Lights Up Well,2014,7.8,17
9396,The Brooklyn Boys,2002,5.4,30
9397,On the Market,2009,6.9,13
9398,S-Club Seven,1999,5.9,21
9399,Shadow in the Trees,2007,5.9,44
9400,Yesterday's Not Tomorrow,2004,6.5,10
9401,Makua Charley,2013,5.6,17
9402,The Gifted,1999,8.4,17
9403,ZZ Top: Live at Montreux 2013,2014,7.7,13
9404,Tangier Incident,1953,5.0,13
9405,The Trust,1993,5.9,68
9406,The Record Deal,2005,4.6,16
9407,Joe Killionaire,2004,5.5,62
9408,Whispering Smith Speaks,1935,6.6,24
9409,The Krone Experiment,2005,6.5,18
9410,Boss of Boomtown,1944,4.7,23
9411,When,1999,5.8,8
9412,Two Thoroughbreds,1939,5.7,43
9413,The Penny,2010,5.7,49
9414,Trooper and the Legend of the Golden Key,2012,5.8,38
9415,Raskal Love,2012,9.2,17
9416,The Kid from Amarillo,1951,6.2,15
9417,Torture Room,2007,4.1,63
9418,Perils of the Jungle,1927,6.8,10
9419,Jake's M.O.,1987,6.8,5
9420,I Don't Want to Kill Myself,2011,7.2,9
9421,That I May Live,1937,6.5,14
9422,Scarecrows of the Third Reich,2018,5.2,10
9423,Into the Night,2011,7.7,7
9424,Mississippi Rhythm,1949,6.8,11
9425,The Adventures of Sinbad,1979,5.8,5
9426,Undoing Time,2008,8.4,24
9427,Actual Images: The Valley Murder Tapes,2008,6.1,8
9428,Czar of Broadway,1930,6.7,12
9429,The Southernmost Point,2005,7.7,15
9430,The Real Old Testament,2003,8.5,36
9431,Canvas of Death,2016,2.9,19
9432,Cryptid,2013,5.4,9
9433,Delusions of Guinevere,2014,7.0,43
9434,Galini,1958,7.6,11
9435,Dying Game,1995,7.8,5
9436,The Big Blind,1999,5.2,43
9437,Westward Bound,1944,6.9,58
9438,Home.,2018,4.8,11
9439,Fighting the Flames,1925,6.2,10
9440,Two for Tonight,1935,6.2,46
9441,Monday Night Gig,2005,6.2,28
9442,My Buddy,1944,5.8,13
9443,Autopilot,2010,4.9,90
9444,The Work and the Story,2003,5.7,100
9445,"Deathbone, Third Blood Part VII: The Blood of Deathbone",2011,5.8,19
9446,A Gentle Gangster,1943,6.2,5
9447,Circulation,2008,4.0,142
9448,Victim's Song,2008,7.7,19
9449,Hellphone,2010,6.9,41
9450,The Indie Pendant,2005,4.1,21
9451,Take Away,2002,9.0,10
9452,It Wasn't for Love,2008,7.8,15
9453,A Texas Tale of Treason,2006,7.5,40
9454,Topa Topa Bluffs,2002,7.2,18
9455,The Luigi0730 Sequel,2015,7.2,9
9456,Love Land,2014,8.0,21
9457,Sing Another Chorus,1941,7.1,7
9458,Coldwood,2012,4.0,60
9459,Silly Billies,1936,6.1,74
9460,Raising Heroes,1996,5.0,105
9461,Soul-Fire,1925,4.1,112
9462,The Affair,2001,5.8,13
9463,Drain Baby,2011,7.1,47
9464,Project Nine,2010,2.8,21
9465,Gigolettes of Paris,1933,5.6,54
9466,Family Reunion,1988,6.5,24
9467,Laughing Boy,2000,5.5,141
9468,Made in Berlin,1998,6.8,5
9469,Robbers of the Range,1941,6.5,75
9470,Burn Out the Day,2010,4.5,11
9471,Sasqua,1975,4.7,11
9472,The Westward Trail,1948,6.1,54
9473,The Hidden,2018,7.3,6
9474,Racing Luck,1935,6.1,28
9475,Last September,2008,7.2,16
9476,The Girl from Mandalay,1936,6.6,11
9477,The Kid Comes Back,1938,5.5,47
9478,Light Fantastic,1964,8.0,19
9479,Pardon My Gun,1942,5.2,8
9480,Walk Through the Valley,2015,6.8,11
9481,Kansas Cyclone,1941,6.7,7
9482,If I Had a Hammer,1999,7.3,66
9483,Sea Horses,1926,5.8,6
9484,"Paradise, FL",2015,4.0,31
9485,Doctor Bello,2013,5.4,19
9486,Woman on Fire,2002,5.8,5
9487,Better the Devil You Know,2009,4.3,55
9488,Chicago Heights,2009,8.8,24
9489,Cicadas,2000,7.3,97
9490,Piyalir Password,2009,5.6,22
9491,The Face on the Bar-Room Floor,1923,3.2,24
9492,Passenger Pigeons,2010,8.0,46
9493,The Arkansas Swing,1948,6.6,7
9494,Works in Progress,2009,6.4,31
9495,Early to Bed,1936,6.8,28
9496,I Was a Teenage Suicide,2012,4.4,7
9497,La Rancherita,2016,4.0,5
9498,Goin' to Town,1944,6.3,14
9499,Time-Men,2009,4.3,7
9500,Let's Kill Hitler,2017,8.0,7
9501,Subspiral,2013,6.3,34
9502,End,2009,6.4,8
9503,Smoke Lightning,1933,6.6,19
9504,Billy Topit,2015,4.1,7
9505,Rubber Soul,2014,7.9,8
9506,The Way of All Men,1930,5.1,8
9507,Inside Irvin,2004,5.9,32
9508,Trail of Terror,1935,6.3,29
9509,The Shadow People,2011,4.8,94
9510,Call of the Klondike,1950,6.1,33
9511,Winning Girls Through Psychic Mind Control,2002,7.4,18
9512,Delta Justice: The Islenos Trappers War,2015,8.1,7
9513,The Last Buck Hunt,2013,6.0,38
9514,Cowboy Commandos,1943,5.0,23
9515,The Parasomniac,2010,8.1,36
9516,"Roll Along, Cowboy",1937,6.0,40
9517,A Woman's Fool,1918,4.2,29
9518,The Fighting Edge,1926,5.2,8
9519,Third on a Match,2009,7.2,23
9520,Smart Girl,1935,5.6,22
9521,Bloodbath,1999,4.0,37
9522,The Haunted Mine,1946,6.1,9
9523,Young America,1942,5.5,16
9524,You Have to Run Fast,1961,6.1,50
9525,Where the Air Is Cool and Dark,1997,6.1,34
9526,Godless Men,1920,5.6,17
9527,Lucky Terror,1936,5.9,49
9528,The Fighting Buckaroo,1943,6.0,17
9529,The Spirit Gallery,1995,5.8,5
9530,Mr D's No Thing Tales,2015,2.3,33
9531,Green Eyes,2013,6.2,42
9532,In Search of the Wild Kingdom,2007,6.3,9
9533,Rope Art,2000,7.1,20
9534,From Kilimanjaro with Love,2008,5.9,18
9535,Must Love Horror,2018,2.2,16
9536,Incest Death Squad 2,2010,7.2,26
9537,Priceless,2008,6.4,67
9538,The Surprise Party,2001,6.1,23
9539,Last Ride,2001,6.3,34
9540,Merge,2015,6.8,10
9541,Frogtown,2011,7.6,7
9542,Girl from Havana,1940,5.6,18
9543,We're in the Navy Now,1926,5.8,27
9544,Currency,2011,8.0,13
9545,A.K.A.: It's a Wiley World!,2003,4.1,29
9546,Drivers Wanted,2005,6.9,67
9547,Turntable,2005,6.2,23
9548,Nothing in the Flowers,2011,8.0,36
9549,Fully Alive,2012,5.7,6
9550,Pack Up Your Troubles,1939,5.8,53
9551,Indocumentados,2004,8.9,10
9552,Dinner and a Movie,2001,7.8,44
9553,A Texas Cowboy,1929,6.3,7
9554,The Scarlet Runner,1916,7.0,6
9555,Hit the Hay,1945,6.2,23
9556,Symphony of Living,1935,6.6,42
9557,Finders Keepers: The Root of All Evil,2013,3.1,114
9558,Women Won't Tell,1932,6.1,24
9559,Doomed at Sundown,1937,4.9,32
9560,Montclair,2007,7.4,13
9561,"Linda, Be Good",1947,6.6,8
9562,Zombie Dollz,2015,3.4,23
9563,All for Melissa,2007,3.8,170
9564,Rappin-n-Rhyming,2002,7.8,16
9565,Broken Glass,2007,7.9,28
9566,The Set-Up,2014,5.8,5
9567,Clancy of the Mounted,1933,3.8,16
9568,Freudian Eyebrow,2009,6.5,11
9569,Counting Backwards,2007,8.2,41
9570,Robin's Hood,2003,5.4,61
9571,The Light of Western Stars,1930,4.6,132
9572,Law of the Northwest,1943,6.2,6
9573,The Galoshes,2019,8.3,12
9574,Kinfolks,1998,5.6,16
9575,Marina Franklin: Single Black Female,2019,6.5,13
9576,The Wild Frontier,1947,6.4,16
9577,Cause of my Death,2016,4.2,17
9578,An Evening with Quentin Crisp,1980,8.5,15
9579,"Damselvis, Daughter of Helvis",1994,6.9,14
9580,Inside Information,1939,3.9,15
9581,Pathogen,2006,7.8,12
9582,Hard Visit,2017,7.0,5
9583,Christmas Wedding Baby,2014,5.8,63
9584,After Romeo & Juliet,2012,6.6,8
9585,Becoming Pony Boi,2009,6.3,13
9586,"Cheer Up, Sam",2010,8.6,21
9587,Sheriff of Sundown,1944,6.8,38
9588,It Came from Yesterday,2011,6.1,26
9589,Boardwalk Poets,2005,5.7,37
9590,Rich Relations,1937,4.7,37
9591,Vengeance of the West,1942,6.7,9
9592,Waking Up,2010,6.5,13
9593,Shades of Gray,2005,6.0,249
9594,Once a Child of God,2009,5.6,7
9595,Spin the Plate,2018,8.8,13
9596,My Wife and My Dead Wife,2007,4.7,114
9597,Ghosts of the Heartland,2007,6.8,48
9598,Finding Sky,2010,7.1,18
9599,The Steel Fist,1952,5.4,23
9600,King of the Sierras,1938,4.7,27
9601,Mysterious Ways,2009,7.6,7
9602,Mr. District Attorney in the Carter Case,1941,6.1,13
9603,Streaker,2007,8.2,15
9604,Speed Limited,1935,5.8,16
9605,Preexisting Conditions,2015,8.6,37
9606,Quick Trigger Lee,1931,4.7,7
9607,Smile If You Want More,1994,4.3,7
9608,Last Flight of the Champion,2013,5.2,18
9609,Change of Life,2006,5.4,31
9610,A Cat's Tale,2015,7.0,9
9611,The Hard Hombre,1931,5.4,76
9612,Rainbow on the River,1936,7.2,41
9613,Dv,2013,2.6,18
9614,The Third Alarm,1930,2.1,12
9615,Chhevan Dariya (The Sixth River),2010,5.7,18
9616,Day at the Beach,1997,6.0,23
9617,Girls' Night Out,2009,7.4,14
9618,Suddenly Unexpected,2003,5.0,22
9619,Running 4 President,2009,8.5,6
9620,Highway Patrol,1938,4.1,15
9621,Marked Money,1928,6.5,13
9622,Devotion,2013,3.5,8
9623,Skull and Crown,1935,5.5,58
9624,Homecoming,2005,5.4,5
9625,Moving,2002,4.4,104
9626,Sweet Alyssum,1915,6.4,5
9627,Buffalo Bill Rides Again,1947,4.3,28
9628,Home Before the Holiday,2017,9.1,10
9629,Philip Roth: Unmasked,2013,7.3,41
9630,Our Girl Shirley,1942,5.3,6
9631,Men Are Such Fools,1932,5.8,61
9632,The Axeman of Henderson County,2014,7.6,52
9633,The Dearly Departed,2017,7.2,10
9634,Back in the Saddle,1941,6.3,129
9635,Flaming Fury,1949,7.3,7
9636,ShadowBox,2005,4.9,37
9637,Federal Agent,1936,7.1,17
9638,Chicago 70,1970,7.7,31
9639,Hypnosis Display,2014,8.2,31
9640,Ghoulish Tales,2014,4.5,35
9641,Higher Methods,2018,7.4,11
9642,Bert,2006,8.0,10
9643,Walk-Off Stories: Improbably Gibson,2018,8.6,5
9644,The Wheel of Life,1929,6.7,10
9645,On the 7th Date,2016,7.6,14
9646,Rapture,2006,4.5,21
9647,South of Death Valley,1949,6.7,46
9648,Puppy Party,2009,5.9,8
9649,Love My Country,2015,8.5,6
9650,Manifesto,2011,6.0,7
9651,Pincus,2012,6.8,29
9652,Eating L.A.,1999,6.5,60
9653,Bite Me: The Movie,2011,6.8,9
9654,Dangerous Crossroads,1933,5.3,10
9655,The Victims,1989,4.9,13
9656,Preserve,2013,7.2,10
9657,A Son of the Sahara,1924,4.5,11
9658,Legion of the Lawless,1940,6.5,53
9659,Why We Had to Kill Bitch,2003,5.0,147
9660,Family Jewels,2000,5.8,12
9661,Waking Up with Monsters,2007,8.0,9
9662,Living in Sin,2012,7.4,66
9663,Out On Stage (Movie Version),2018,7.8,9
9664,Rose of the Yukon,1949,6.3,11
9665,Sixgun,2010,4.2,69
9666,An Incident in San Ysidro,2013,7.5,6
9667,Reggie Gaskins' Urban Love Story,2015,4.8,9
9668,Border Buckaroos,1943,7.0,17
9669,A Christmas Tree and a Wedding,2000,8.3,48
9670,Get Rich Free,2017,8.2,35
9671,99,2006,1.5,472
9672,On Your Back,1930,6.0,8
9673,Dream Girls,1996,4.9,8
9674,The Period,2007,5.1,17
9675,Sexgunsmoney@20,2002,8.5,6
9676,Affairs of a Gentleman,1934,6.8,20
9677,Archangel Alpha,2016,7.3,6
9678,Glitch,2018,3.6,7
9679,Glamarus,2014,6.6,23
9680,The Sunrise Trail,1931,5.4,22
9681,Two Gun Troubador,1939,4.0,6
9682,Coyotes,1999,6.1,78
9683,The A-B-C's of Love,1953,7.9,9
9684,Booster,2012,4.9,132
9685,Three Married Men,1936,6.7,6
9686,Camera Phone 2,2016,3.3,44
9687,Code of the Saddle,1947,6.2,28
9688,Circus Girl,1937,6.2,34
9689,Happy Valley,2007,5.7,10
9690,All I've Got,2012,7.7,11
9691,Men in Her Life,1931,7.4,26
9692,Desert Patrol,1938,5.6,40
9693,Blood Justice,1995,3.6,15
9694,Soap Girl,2002,4.5,76
9695,The Texas Ranger,1931,7.2,11
9696,Adultolescence,2011,8.2,17
9697,Mulligan,2012,6.2,6
9698,Jerks,2000,5.2,14
9699,Two-Eleven,1999,6.2,28
9700,Sons of Virginia,2007,7.9,10
9701,Urchin,2007,3.3,183
9702,Falling. In Love,2002,7.9,13
9703,Mr. Presto,2018,6.9,24
9704,Gary Owen Upgraded,2012,7.8,6
9705,Silver City Kid,1944,6.6,32
9706,Messages,2004,5.7,14
9707,With Love and Kisses,1936,5.4,18
9708,Joe Vampire,2012,4.7,27
9709,Down with the Joneses,2003,7.0,19
9710,Rottweiler,2016,5.0,15
9711,Fatal Revenge,1989,3.7,12
9712,Angelica: The Young Vixen,1974,4.0,6
9713,I Am a Knife with Legs,2014,7.3,69
9714,Caryl of the Mountains,1936,5.2,53
9715,Fugitive in the Sky,1936,6.1,139
9716,HorrorCon,2014,6.5,17
9717,Sea Devils,1931,5.4,13
9718,Tiburon,2013,8.0,28
9719,Yellow Pages,1999,3.3,6
9720,Rap City,1995,8.9,7
9721,Lone Cowboy,1933,6.1,16
9722,Trapped in Perfection,2008,7.5,25
9723,Two Fisted Justice,1931,6.8,8
9724,Among Thieves,2001,3.5,20
9725,Tripoli Cancelled,2017,6.0,33
9726,Mr. Washington Goes to Town,1941,6.9,7
9727,Univers'l,1997,6.5,10
9728,Duke of Chicago,1949,7.9,10
9729,Long Lost Love,2001,7.0,10
9730,Tux and Fanny,2019,7.1,17
9731,Civic Duty,2004,8.0,10
9732,Clown,2007,6.2,53
9733,The Heater,2005,6.5,25
9734,Only in Hollywood,2002,8.7,6
9735,Engrams,2016,8.1,38
9736,Pals of the Pecos,1941,7.7,42
9737,5th of a Degree,2012,5.8,12
9738,A Broken Sole,2006,6.2,11
9739,Venatus,2015,6.0,6
9740,"Brother, Cry for Me",1970,3.8,14
9741,The Great Intervention,2010,8.3,15
9742,Transmigration,2011,4.5,10
9743,Reality TV Movie,2014,8.0,26
9744,Dead Air,1999,7.4,14
9745,The King on Main Street,1925,6.9,34
9746,On the Fringe,2001,7.2,22
9747,Voyeur,2006,4.2,37
9748,Lost River: Lincoln's Secret Weapon,2009,6.0,34
9749,Fiendish Fables,2016,5.6,16
9750,Fable,2011,4.8,12
9751,Demon Hunters: Fear the Silence,2013,5.6,17
9752,The Doorway,2012,5.0,29
9753,Across the Rio Grande,1949,5.6,56
9754,Time Out for Romance,1937,5.9,65
9755,ArtHouse,2005,4.9,8
9756,One,1997,5.5,129
9757,Date with Death,1959,6.5,48
9758,Superstar Female Serial Killer,2000,7.9,36
9759,The Palomino,1950,5.4,70
9760,God's Speed,2017,8.0,6
9761,Spin,2012,6.8,42
9762,Mission of Mercy,1994,4.7,14
9763,Pup 2 No Good,2016,3.1,24
