,title,tomatoes_rating
2839,Journey to the West: The Demons Strike Back,58%
2840,I Am Heath Ledger,86%
2841,96 Souls,0%
2842,Be Afraid,17%
2843,Hasan Minhaj: Homecoming King,78%
2844,Sarah Silverman: A Speck of Dust,100%
2845,Willard,57%
2846,Ben,67%
2847,Burning Annie,50%
2848,Rings,8%
2849,xXx: Return of Xander Cage,44%
2850,A Fantastic Fear of Everything,34%
2851,Resident Evil: The Final Chapter,37%
2852,Fifty Shades Darker,11%
2853,Welcome To Happiness,31%
2854,Urban Hymn,58%
2855,A Dog's Purpose,35%
2856,A Street Cat Named Bob,77%
2857,Things to Come (L'avenir),99%
2858,The Last Heist,20%
2859,The Red Turtle (La tortue rouge),93%
2860,The Salesman (Forushande),96%
2861,Dying Laughing,82%
2862,Beyond the Gates,83%
2863,Operation Chromite,40%
2864,Mom and Me,100%
2865,The Resurrection of Gavin Stone,50%
2866,Hounds of Love,88%
2867,The Void,77%
2868,The Comedian,24%
2869,Dead Awake,20%
2870,Mommy Dead and Dearest,100%
2871,Tracy Morgan: Staying Alive,83%
2872,Get Me Roger Stone,88%
2873,"Norm Macdonald: Hitler's Dog, Gossip & Trickery",100%
2874,Maria Bamford: Old Baby,100%
2875,Ocean Waves (Umi ga kikoeru),88%
2876,Black Rose,22%
2877,Love Thy Nature,30%
2878,The Outcasts,56%
2879,The Founder,81%
2880,La La Land,91%
2881,Sand Castle,47%
2882,Split,77%
2883,Sleepless,25%
2884,The Bye Bye Man,19%
2885,Punching Henry,77%
2886,We Are X,82%
2887,The Girl With All the Gifts,85%
2888,Underworld: Blood Wars,21%
2889,Mean Dreams,78%
2890,Detour,65%
2891,Sandy Wexler,27%
2892,Disturbing The Peace,100%
2893,Before the Flood,75%
2894,Tramps,95%
2895,The Levelling,94%
2896,Catfight,73%
2897,The Duelist (Duelyant),43%
2898,Mifune: The Last Samurai,83%
2899,Rupture,18%
2900,The Dark Tapes,90%
2901,Teen Titans: The Judas Contract,83%
2902,Small Crimes,59%
2903,Rodney King,100%
2904,Daughters of the Dust,93%
2905,Walking With The Enemy,45%
2906,Monster Trucks,32%
2907,Rogue One: A Star Wars Story,84%
2908,The Bounce Back,67%
2909,The Blackout Experiments,45%
2910,Newtown,94%
2911,Paterson,96%
2912,Backgammon,0%
2913,Despite The Falling Snow,9%
2914,War on Everyone,61%
2915,Office Christmas Party,41%
2916,The Discovery,45%
2917,Lion,84%
2918,Hidden Figures,93%
2919,Youth in Oregon,45%
2920,Is That a Gun in Your Pocket?,0%
2921,Toni Erdmann,93%
2922,We Go On,100%
2923,Brimstone,43%
2924,Carrie Pilby,62%
2925,Don't Hang Up,29%
2926,SHOT!: The Psycho-Spiritual Mantra of Rock,94%
2927,Sword Master,67%
2928,bwoy,88%
2929,The Book Of Love,8%
2930,Believe,33%
2931,Bethany,29%
2932,Speech & Debate,55%
2933,Win It All,85%
2934,Don't Kill It,93%
2935,Louis C.K.: 2017,95%
2936,Multiple Maniacs,100%
2937,Assassin's Creed,18%
2938,Brothers Hypnotic,100%
2939,Fantastic Beasts and Where to Find Them,74%
2940,Live By Night,35%
2941,A Monster Calls,86%
2942,A Midsummer Night's Dream,100%
2943,The Creeping Garden,95%
2944,A Tale of Love and Darkness,72%
2945,Uncertain,100%
2946,Evolution,83%
2947,Why Him?,39%
2948,Sing,72%
2949,Julieta,83%
2950,Collateral Beauty,14%
2951,Miss Sloane,76%
2952,Fire at Sea (Fuocoammare),95%
2953,Patriots Day,81%
2954,Arsenal,3%
2955,Tower,99%
2956,From Nowhere,92%
2957,The Love Witch,96%
2958,Bakery in Brooklyn (My Bakery in Brooklyn),43%
2959,"Mother, May I Sleep with Danger?",62%
2960,A Kind of Murder,35%
2961,The Brooklyn Banker,20%
2962,20th Century Women,88%
2963,Silence,83%
2964,Deidra & Laney Rob a Train,92%
2965,Bokeh,43%
2966,The Most Hated Woman In America,36%
2967,Dig Two Graves,71%
2968,Solace,25%
2969,Passengers,30%
2970,Moana,95%
2971,I Am Michael,64%
2972,The Brand New Testament (Le tout nouveau testament),82%
2973,Man Down,16%
2974,Tanna,92%
2975,Jackie,87%
2976,The Eyes of My Mother,78%
2977,Incarnate,17%
2978,Always Shine,90%
2979,All We Had,40%
2980,Johnny Frank Garrett's Last Word,50%
2981,Being 17 (Quand on a 17 ans),95%
2982,Allied,61%
2983,Lavender,39%
2984,Fences,92%
2985,Rules Don't Apply,55%
2986,Elle,91%
2987,Cold War 2,60%
2988,New Life,29%
2989,The Legend of the Chupacabras (La Leyenda del Chupacabras),25%
2990,Trespass Against Us,56%
2991,The Red Pill,29%
2992,100 Streets,41%
2993,The C Word,100%
2994,Stray Bullets,75%
2995,Burning Sands,88%
2996,The Institute,0%
2997,Amy Schumer: The Leather Special,50%
2998,The Trouble with Terkel,40%
2999,Blood On The Mountain,90%
3000,Beauty And The Beast (La belle et la bête),41%
3001,Doctor Strange,89%
3002,Shut In,7%
3003,Marinoni: The Fire in the Frame,70%
3004,Sound of Redemption: The Frank Morgan Story,100%
3005,Hacksaw Ridge,84%
3006,Chronic,77%
3007,Bad Santa 2,24%
3008,Sophie and the Rising Sun,64%
3009,Manchester by the Sea,96%
3010,Christine,88%
3011,The Edge of Seventeen,94%
3012,King Cobra,49%
3013,Nocturnal Animals,73%
3014,Officer Downe,33%
3015,Arrival,94%
3016,Priceless,40%
3017,Moonlight,98%
3018,Tharlo,90%
3019,In Dubious Battle,30%
3020,Contract to Kill,0%
3021,Creepy (Kuripi: Itsuwari no rinjin),90%
3022,Fare,100%
3023,The Grace of Jake,80%
3024,Drifter,42%
3025,I don't feel at home in this world anymore.,89%
3026,VooDoo,30%
3027,Trevor Noah: Afraid Of The Dark,100%
3028,Mike Birbiglia: Thank God for Jokes,100%
3029,Human Flow,91%
3030,Ha-shoter (Policeman),61%
3031,Girlfriend's Day,43%
3032,A Long Way From Home,33%
3033,The 9th Life of Louis Drax,39%
3034,Bleed For This,70%
3035,Billy Lynn's Long Halftime Walk,44%
3036,Speed Sisters,92%
3037,Golden Kingdom,100%
3038,Bleak Street (La calle de la amargura),58%
3039,Desierto,63%
3040,"Look at Us Now, Mother!",80%
3041,Antibirth,68%
3042,The Eagle Huntress,93%
3043,Frank & Lola,69%
3044,Cameraperson,99%
3045,Hunter Gatherer,96%
3046,Little Sister,94%
3047,Loving,88%
3048,Nerdland,21%
3049,Almost Christmas,49%
3050,Left on Purpose,88%
3051,Come What May,41%
3052,Abattoir,38%
3053,Spin Out,13%
3054,Seasons (Les saisons),97%
3055,Justice League Dark,78%
3056,The Adventure Club,20%
3057,1 Night (One Night),33%
3058,The Crash (Jekyll Island),17%
3059,Sex Doll,0%
3060,"Michael Bolton's Big, Sexy Valentine's Day Special",100%
3061,Eagles of Death Metal: Nos Amis (Our Friends),100%
3062,American Pastoral,23%
3063,Trolls,75%
3064,Masterminds,34%
3065,Inferno,23%
3066,The Light Between Oceans,61%
3067,Imperial Dreams,92%
3068,Jack Reacher: Never Go Back,38%
3069,USS Indianapolis: Men of Courage,17%
3070,Antarctica: Ice & Sky (La glace et le ciel),89%
3071,A Month Of Sundays,63%
3072,Ixcanul,97%
3073,The Whole Truth,32%
3074,The Free World,50%
3075,Jim: The James Foley Story,91%
3076,Tyler Perry's Boo! A Madea Halloween,19%
3077,Shepherds and Butchers,60%
3078,Zero Days,92%
3079,"My Father, Die",67%
3080,The Anthropologist,100%
3081,Gimme Danger,95%
3082,Passage to Mars,29%
3083,I'm Not Ashamed,20%
3084,Long Way North (Tout en haut du monde),98%
3085,The Handmaiden (Ah-ga-ssi),95%
3086,Train to Busan (Busanhaeng),94%
3087,Dr. Feelgood: Dealer or Healer?,83%
3088,The Monster,80%
3089,Burn Country,60%
3090,Eloise,11%
3091,Akron,57%
3092,iBoy,69%
3093,Neal Brennan: 3 Mics,100%
3094,What Alice Found,68%
3095,The Hollow Point,40%
3096,Max Steel,0%
3097,Deepwater Horizon,83%
3098,Keeping Up With The Joneses,19%
3099,Ouija: Origin of Evil,82%
3100,Kevin Hart: What Now?,76%
3101,The Accountant,51%
3102,Hitchcock/Truffaut,96%
3103,Reset (Relève: Histoire d'une création),71%
3104,Closet Monster,81%
3105,Denial,83%
3106,Middle School: The Worst Years of My Life,63%
3107,The Birth of a Nation,73%
3108,Operation Avalanche,69%
3109,The Monkey King 2 (San Da Bai Gu Jing),100%
3110,American Honey,79%
3111,Under The Shadow,99%
3112,No Manches Frida,13%
3113,Kill Command,75%
3114,A Man Called Ove (En man som heter Ove),91%
3115,Claire in Motion,63%
3116,In a Valley of Violence,77%
3117,Coming Through The Rye,70%
3118,Blair Witch,38%
3119,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,100%
3120,Yarn,78%
3121,Attack of the Lederhosen Zombies,55%
3122,Roger Corman's Death Race 2050,88%
3123,Come And Find Me,62%
3124,Jim Gaffigan: Cinco,83%
3125,Dad's Army,31%
3126,Fake It So Real,91%
3127,The Dressmaker,58%
3128,Miss Peregrine's Home for Peculiar Children,64%
3129,Ben-Hur,25%
3130,Hillsong - Let Hope Rise,60%
3131,The Disappointments Room,0%
3132,Suicide Squad,26%
3133,The Magnificent Seven,64%
3134,Sugar Mountain,36%
3135,Snowden,61%
3136,When the Bough Breaks,12%
3137,Storks,65%
3138,Southside With You,92%
3139,Sully,85%
3140,Bridget Jones's Baby,78%
3141,Greater,67%
3142,31,48%
3143,Equity,81%
3144,Little Men,97%
3145,Florence Foster Jenkins,87%
3146,Slash,92%
3147,Harry Benson: Shoot First,85%
3148,Let's Be Evil,15%
3149,Dog Eat Dog,50%
3150,Morgan,37%
3151,Shelley,92%
3152,Barry,80%
3153,Pet,56%
3154,It Had to Be You,60%
3155,"No Pay, Nudity",71%
3156,Kill Ratio,0%
3157,Phantasm,74%
3158,The Secret Life of Pets,72%
3159,Phantasm: Ravager,57%
3160,The Frontier,50%
3161,Odd Brodsky,100%
3162,The BFG,74%
3163,Jason Bourne,54%
3164,Don't Breathe,88%
3165,Pete's Dragon,88%
3166,The Hollars,47%
3167,For the Love of Spock,100%
3168,SiREN,65%
3169,The Great Gilly Hopkins,65%
3170,808,100%
3171,Oddball and the Penguins (Oddball),87%
3172,Attack On Titan: Part 2 (Shingeki no kyojin endo obu za warudo),50%
3173,The Rocky Horror Picture Show: Let's Do the Time Warp Again,27%
3174,Mavis!,97%
3175,Author: The JT LeRoy Story,77%
3176,Absolutely Fabulous: The Movie,58%
3177,Kicks,87%
3178,The Wild Life,17%
3179,Don't Think Twice,98%
3180,The Seasons in Quincy: Four Portraits of John Berger,71%
3181,"Olympic Pride, American Prejudice",100%
3182,The Devil's Dolls,60%
3183,Be My Cat: A Film for Anne,75%
3184,Ordinary World,47%
3185,The Possession Experiment,20%
3186,Esteros,100%
3187,I Am Bolt,86%
3188,Run the Tide,9%
3189,Almayer's Folly,87%
3190,Finding Dory,94%
3191,Sausage Party,82%
3192,Fort Tilden,88%
3193,Yoga Hosers,23%
3194,Mechanic: Resurrection,31%
3195,Kubo and the Two Strings,97%
3196,Mia Madre,84%
3197,Uncle Kent 2,73%
3198,War Dogs,61%
3199,Our Little Sister (Umimachi Diary),94%
3200,Band Of Robbers,78%
3201,The Similars (Los Parecidos),95%
3202,"Lo and Behold, Reveries of the Connected World",93%
3203,Indignation,81%
3204,Hands of Stone,45%
3205,Kickboxer: Vengeance,41%
3206,Tikkun,95%
3207,The True Memoirs of an International Assassin,0%
3208,Hell or High Water,96%
3209,Divines,84%
3210,Lazy Eye,67%
3211,Cardboard Boxer,38%
3212,Operator,100%
3213,Good Kids,33%
3214,Life on the Line,0%
3215,I.T.,9%
3216,Blue Jay,91%
3217,Army of One,25%
3218,The 24 Hour War,100%
3219,Marathon: The Patriots Day Bombing,90%
3220,Michael Che Matters,100%
3221,Jianyu (Reign of Assassins),70%
3222,The Lost Bladesman (Guan yun chang),57%
3223,Star Trek Beyond,86%
3224,"My Love, Don't Cross That River",77%
3225,Deep Web,79%
3226,The Sea of Trees,17%
3227,Nine Lives,14%
3228,Captain Fantastic,82%
3229,Christmas Eve,0%
3230,Lights Out,76%
3231,Lucha Mexico,69%
3232,Uncle Nick,45%
3233,Milton's Secret,38%
3234,The Apostate (El Apóstata),79%
3235,Norman Lear: Just Another Version of You,86%
3236,Imperium,85%
3237,Gleason,96%
3238,Who's Driving Doug,20%
3239,Bad Moms,58%
3240,Nerve,67%
3241,Papa: Hemingway in Cuba,11%
3242,Mr. Church,24%
3243,Anthropoid,66%
3244,My Dead Boyfriend,0%
3245,Into the Inferno,92%
3246,The Ivory Game,77%
3247,Batman: Return Of The Caped Crusaders,94%
3248,The Windmill (The Windmill Massacre),58%
3249,I Am the Pretty Thing That Lives in the House,58%
3250,The Unspoken,9%
3251,Orange Sunshine,100%
3252,Little Fauss and Big Halsy,33%
3253,Ghostbusters,74%
3254,Bayou Maharajah,86%
3255,Independence Day: Resurgence,30%
3256,Alice Through the Looking Glass,29%
3257,Ice Age: Collision Course,18%
3258,The Legend of Tarzan,36%
3259,Schneider vs. Bax,67%
3260,Skiptrace,38%
3261,The Beat Beneath My Feet,50%
3262,The Infiltrator,72%
3263,Breaking A Monster,100%
3264,Sherpa,98%
3265,Café Society,71%
3266,Mascots,48%
3267,Len and Company,70%
3268,Blinky Bill The Movie,73%
3269,Our Kind of Traitor,72%
3270,"Life, Animated",94%
3271,Sky Ladder: The Art of Cai Guo-Qiang,100%
3272,We The People: The Market Basket Effect,78%
3273,The Late Bloomer,20%
3274,"Fear, Inc.",50%
3275,Jack Goes Home,25%
3276,Blood Father,89%
3277,Approaching the Unknown,43%
3278,Hillary's America: The Secret History of the Democratic Party,4%
3279,Front Cover,83%
3280,Spaceman,0%
3281,Autumn Lights,14%
3282,Ovation!,38%
3283,Justin Timberlake + The Tennessee Kids,100%
3284,Cell,11%
3285,X-Men: Apocalypse,47%
3286,Iverson,60%
3287,The President,84%
3288,Central Intelligence,71%
3289,Mike and Dave Need Wedding Dates,38%
3290,The Purge: Election Year,56%
3291,City Of Gold,90%
3292,The Siege of Jadotville,64%
3293,Danny Says,74%
3294,The Shallows,78%
3295,Into The Forest,76%
3296,The Mind's Eye,62%
3297,The Demolisher,80%
3298,Ithaca,22%
3299,Complete Unknown,51%
3300,Swiss Army Man,72%
3301,Joshy,81%
3302,Hunt for the Wilderpeople,97%
3303,Eat That Question: Frank Zappa in His Own Words,92%
3304,Transpecos,91%
3305,Chicken People,100%
3306,Sharknado: The 4th Awakens,14%
3307,Finding Altamira (Altamira),65%
3308,The Wailing (Goksung),99%
3309,The Hollow,40%
3310,Kingsglaive: Final Fantasy XV,12%
3311,London Town,53%
3312,Amanda Knox,82%
3313,ClownTown,9%
3314,Flock of Dudes,36%
3315,Everlasting,100%
3316,Cat People,91%
3317,The Story of the Last Chrysanthemums,94%
3318,Warcraft,28%
3319,The Conjuring 2,80%
3320,Captain America: Civil War,90%
3321,Misconception,40%
3322,Teenage Mutant Ninja Turtles: Out of the Shadows,38%
3323,Take Me To The River,72%
3324,Neighbors 2: Sorority Rising,64%
3325,Free State of Jones,47%
3326,Popstar: Never Stop Never Stopping,79%
3327,They Will Have to Kill Us First,100%
3328,Presenting Princess Shaw,91%
3329,The Automatic Hate,67%
3330,Colliding Dreams,94%
3331,Audrie & Daisy,81%
3332,Goat,79%
3333,The Fits,96%
3334,Under The Sun,94%
3335,The Lovers And The Despot,79%
3336,My Blind Brother,81%
3337,The Good Neighbor,33%
3338,Vaxxed: From Cover-Up to Catastrophe,38%
3339,Sacrifice,29%
3340,Marauders,24%
3341,The Beatles: Eight Days a Week - The Touring Years,96%
3342,Brother Nature,57%
3343,Dancer,88%
3344,The White Helmets,100%
3345,ARQ,43%
3346,Moments of Clarity,40%
3347,Chimes at Midnight,98%
3348,Now You See Me 2,33%
3349,The Jungle Book,94%
3350,Me Before You,54%
3351,Hockney,85%
3352,Equals,36%
3353,"What Happened, Miss Simone?",88%
3354,Wiener-Dog,74%
3355,The Seventh Fire,92%
3356,Money Monster,58%
3357,A Bigger Splash,89%
3358,Neon Bull (Boi Neon),88%
3359,The Ones Below,76%
3360,Night of the Living Deb,88%
3361,All the Way,87%
3362,Klown Forever (Klovn Forever),59%
3363,Maggie's Plan,86%
3364,The Meddler,85%
3365,Compadres,38%
3366,Genius,52%
3367,The Intervention,78%
3368,Weiner,97%
3369,Jane Wants a Boyfriend,38%
3370,The Darkness,3%
3371,Love & Friendship,96%
3372,I Am Not a Serial Killer,93%
3373,Buddymoon,75%
3374,Citizen Soldier,86%
3375,XOXO,71%
3376,Ace the Case: Manhattan Mystery,20%
3377,Floyd Norman: An Animated Life,94%
3378,The Neighbor,67%
3379,"Tell Me That You Love Me, Junie Moon",22%
3380,Eleni,86%
3381,Wild in the Streets,63%
3382,Indigo Children,20%
3383,The Angry Birds Movie,43%
3384,A Hologram for the King,70%
3385,Clown,44%
3386,Ratchet & Clank,21%
3387,The Nice Guys,91%
3388,The Huntsman: Winter's War,19%
3389,God's Not Dead 2,10%
3390,Beautiful Something,57%
3391,Parched,86%
3392,Downriver,90%
3393,Fathers And Daughters,28%
3394,Disorder (Maryland),72%
3395,The Man Who Knew Infinity,63%
3396,Sunset Song,81%
3397,11 Minutes (11 Minut),74%
3398,Five Nights in Maine,27%
3399,Richard Linklater: Dream Is Destiny,94%
3400,The Land,70%
3401,High Strung,75%
3402,The First Monday in May,76%
3403,The Trust,63%
3404,Sundown,9%
3405,Most Likely to Die,33%
3406,The American Side,79%
3407,Amateur Night,0%
3408,Billionaire Ransom (Take Down),20%
3409,Kampai! For the Love of Sake,33%
3410,David Cross: Making America Great Again,71%
3411,Monster Hunt (Zhuo Yao Ji),66%
3412,Little White Lie,80%
3413,Sea Fog (Haemoo),77%
3414,The Bronze,36%
3415,Last Days In The Desert,76%
3416,Songs My Brothers Taught Me,93%
3417,Lazer Team,60%
3418,Summer Camp,50%
3419,Sun Choke,88%
3420,Louder Than Bombs,73%
3421,April and the Extraordinary World (Avril et le monde truqué),97%
3422,Keanu,78%
3423,Requiem For The American Dream,92%
3424,Confirmation,83%
3425,The Lobster,87%
3426,Holding The Man,81%
3427,Mother's Day,8%
3428,Enemy Territory (Septembers Of Shiraz),31%
3429,Born To Be Blue,88%
3430,Hardcore Henry,52%
3431,High-Rise,60%
3432,Viral,53%
3433,Bite,58%
3434,Meet the Blacks,17%
3435,Sing Street,95%
3436,Tallulah,85%
3437,Batman: The Killing Joke,39%
3438,Traded,40%
3439,Edge of Winter,50%
3440,Can We Take a Joke?,55%
3441,Ants on a Shrimp,78%
3442,Guernica (Gernika),86%
3443,Tricked (Steekspel),38%
3444,Batman v Superman: Dawn of Justice,29%
3445,The Divergent Series: Allegiant,11%
3446,The Dark Horse,97%
3447,I Am Wrath,11%
3448,Criminal,30%
3449,Everybody Wants Some!!,87%
3450,Listening,17%
3451,The Boss,21%
3452,The Russian Woodpecker,96%
3453,Barbershop: The Next Cut,90%
3454,Green Room,90%
3455,Miracles from Heaven,45%
3456,Demolition,54%
3457,My Golden Days (Trois Souvenirs De Ma Jeunesse),90%
3458,My Big Night (Mi Gran Noche),90%
3459,Born to Dance,83%
3460,No Men Beyond This Point,50%
3461,River,85%
3462,Elvis & Nixon,77%
3463,The Childhood of a Leader,89%
3464,Miles Ahead,74%
3465,The Dresser,100%
3466,Mountains May Depart (Shan he gu ren),90%
3467,Outlaws and Angels,29%
3468,The Perfect Match,22%
3469,Quitters,44%
3470,13 Cameras,77%
3471,Free to Run,57%
3472,Ghost Team,11%
3473,Queen Of Spades: The Dark Rite,40%
3474,Undrafted,25%
3475,Term Life,0%
3476,Search Party,10%
3477,Whiskey Tango Foxtrot,67%
3478,Boy and the World (O Menino e o Mundo),93%
3479,Adventures in Babysitting,86%
3480,Roseanne for President!,60%
3481,Circle,50%
3482,Fastball,90%
3483,By The Sea,34%
3484,I Saw the Light,18%
3485,600 Miles,94%
3486,A Sinner in Mecca,86%
3487,The Adderall Diaries,23%
3488,The Debt (Oliver's Deal),44%
3489,Eye In The Sky,94%
3490,The Family Fang,83%
3491,The Girl In The Photographs,17%
3492,The Steps,33%
3493,Francofonia,87%
3494,"Rabin, the Last Day",68%
3495,Carnage Park,61%
3496,The Mermaid (Mei ren yu),95%
3497,Brahman Naman,75%
3498,Precious Cargo,0%
3499,Bling,33%
3500,Holidays,52%
3501,Mad Tiger,67%
3502,The Dog Lover,20%
3503,Vigilante Diaries,14%
3504,Out of Print,80%
3505,Andron (Andròn - The Black Labyrinth),0%
3506,Satanic,0%
3507,Knight of Cups,47%
3508,Ray Harryhausen: Special Effects Titan,92%
3509,Kung Fu Panda 3,87%
3510,Careful What You Wish For,17%
3511,Stand Clear Of The Closing Doors,88%
3512,The Young Messiah,49%
3513,The Keeper of Lost Causes (Kvinden i buret),70%
3514,Midnight Special,83%
3515,London Has Fallen,28%
3516,45 Years,97%
3517,Seve the Movie,73%
3518,My Big Fat Greek Wedding 2,27%
3519,Lucky Stiff,40%
3520,Raiders!: The Story of the Greatest Fan Film Ever Made,91%
3521,Eddie The Eagle,81%
3522,"Hello, My Name is Doris",85%
3523,Those People,80%
3524,Puerto Ricans In Paris,33%
3525,The Absent One (Fasandraeberne),92%
3526,King Jack,94%
3527,The Wave (Bolgen),83%
3528,Embrace Of The Serpent (El Abrazo De La Serpiente),96%
3529,The Brothers Grimsby,37%
3530,The Fundamentals of Caring,77%
3531,10 Cloverfield Lane,90%
3532,Get a Job,5%
3533,Blackway,20%
3534,A Conspiracy of Faith (Flaskepost fra P),100%
3535,The Last King,89%
3536,The Phenom,79%
3537,The Duel,26%
3538,Intruder,23%
3539,"Hail, Caesar!",85%
3540,Pride and Prejudice and Zombies,46%
3541,Zootopia,98%
3542,Altered Minds (The Red Robin),50%
3543,No No: A Dockumentary,97%
3544,Gods Of Egypt,15%
3545,Race,62%
3546,Triple 9,54%
3547,How To Be Single,47%
3548,Kill Your Friends,23%
3549,Mark of the Witch (Another),38%
3550,Helicopter Mom,29%
3551,Zoolander 2,22%
3552,Every Thing Will Be Fine,28%
3553,One More Time (When I Live My Life Over Again),53%
3554,13 Hours: The Secret Soldiers Of Benghazi,51%
3555,Anomalisa,92%
3556,Mr. Right,44%
3557,Colonia,29%
3558,The Boy And The Beast (Bakemono No Ko),88%
3559,The Other Side of the Door,37%
3560,Darling,71%
3561,Touched With Fire,67%
3562,The Funhouse Massacre,73%
3563,A War (Krigen),90%
3564,Busco Novio Para Mi Mujer,78%
3565,The Abandoned,46%
3566,Under the Gun,100%
3567,The Confirmation,91%
3568,Memoria,100%
3569,Urge,0%
3570,Bo Burnham: Make Happy,100%
3571,The Naked Island (Hadaka no shima),100%
3572,The Golden Dream (La Jaula De Oro),89%
